Année,Mois,URL
2023,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2023_a3710.html
2023,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2023_a3726.html
2023,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2023_a3738.html
2023,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2023_a3744.html
2023,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2023_a3750.html
2023,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2023_a3767.html
2023,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2023_a3785.html
2023,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2023_a3794.html
2023,de Décembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-de-l-annee-2023_a3811.html
2024,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2024_a3824.html
2024,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2024_a3848.html
2024,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2024_a3869.html
2024,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2024_a3885.html
2024,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2024_a3902.html
2024,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2024_a3918.html
2024,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2024_a3931.html
2024,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2024_a3946.html
2024,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2024_a3963.html
2024,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2024_a3983.html
2024,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2024_a4031.html
2024,de Décembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-de-l-annee-2024_a4056.html
2025,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2025_a4068.html
2025,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2025_a4077.html
2025,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2025_a4090.html
2025,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2025_a4102.html
2025,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2025_a4132.html
2025,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2025_a4160.html
2025,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2025_a4165.html
2025,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-aout-2025_a4173.html
2025,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2025_a4200.html
2025,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2025_a4212.html
2025,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2025_a4231.html
2025,de Décembre,nan
